ufrn|cpu|23.36%|0.96%|0.00%|62.36%|13.31%|99.57%
ufrn|cpu|35.56%|0.94%|0.00%|41.73%|21.77%|99.99%
ufrn|cpu|28.83%|7.60%|17.76%|31.07%|14.74%|100.00%
ufrn|cpu|21.27%|8.90%|24.57%|36.28%|8.98%|100.00%
ufrn|cpu|23.41%|6.25%|24.50%|38.44%|7.40%|100.00%
ufrn|cpu|18.94%|17.34%|18.73%|42.84%|2.15%|100.00%
ufrn|cpu|20.90%|37.71%|0.21%|36.06%|5.13%|100.00%
ufrn|cpu|20.08%|33.62%|0.00%|40.17%|6.14%|100.00%
ufrn|cpu|26.23%|31.33%|0.00%|35.29%|7.16%|100.00%
ufrn|cpu|30.87%|23.00%|0.01%|41.53%|4.59%|100.00%
ufrn|cpu|44.57%|11.18%|0.00%|26.25%|18.00%|100.00%
ufrn|cpu|65.29%|5.97%|0.00%|9.85%|18.88%|100.00%
